Month,Day,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mar,5,17,10,1,9,9,17,17,15,10,15,9,8,15,9,1,11,16,1,8,11,8,10,7,8,15,1,1,3,17,15,17,1,8,7,3,12,1,9,17,14,9,7,1,11,8,15,16,3,16,14,3,3,8,1,1,1,14,7,15,17,3,7,16,9,1,8,7,9,10,9
Mar,6,17,8,15,3,1,14,17,15,8,14,10,8,14,1,1,11,15,10,9,14,10,8,3,8,8,17,1,8,10,8,10,2,9,3,1,17,18,9,1,8,1,1,17,11,8,18,14,16,14,17,8,3,17,1,3,14,17,7,9,8,3,7,10,16,15,9,10,3,1,1
Mar,7,1,10,11,3,9,11,10,10,15,17,18,9,11,8,19,9,8,15,1,8,10,15,9,8,1,11,3,9,9,15,9,15,2,1,10,9,15,9,9,14,19,17,8,8,1,14,17,10,14,8,17,3,11,1,3,8,8,10,18,9,9,18,9,15,1,3,3,7,1,1
Mar,8,17,10,11,1,14,17,10,7,11,10,14,9,8,8,15,9,9,10,8,9,17,15,18,10,8,9,3,3,2,9,7,14,17,3,16,8,9,9,1,17,1,8,9,17,1,16,17,7,17,1,8,1,11,17,3,3,9,14,16,17,3,16,7,14,1,12,3,1,1,7
Mar,9,17,14,11,8,15,3,16,18,10,1,8,8,19,8,15,8,8,15,9,3,15,8,15,7,8,3,1,7,1,1,2,8,10,3,11,8,18,9,17,16,14,8,9,8,9,8,17,1,10,1,7,8,3,17,4,17,9,15,17,1,15,15,2,14,3,17,15,1,19,2
Mar,10,1,11,17,10,11,18,8,15,10,17,8,1,17,9,11,8,10,8,19,1,15,17,14,15,8,3,9,8,9,17,14,8,1,1,17,3,15,3,10,11,14,8,3,3,9,8,17,9,8,1,7,8,15,8,3,1,8,11,8,9,17,10,9,11,9,15,15,3,8,1
Mar,11,8,11,8,4,14,15,8,15,8,17,8,1,11,1,10,8,15,8,15,1,10,8,14,11,15,1,9,8,7,8,15,8,1,15,8,8,11,1,1,17,11,10,17,1,3,11,11,8,8,3,16,1,8,3,3,1,10,8,3,17,1,1,7,8,9,7,10,3,1,16
Mar,12,8,17,8,8,15,11,1,11,8,11,3,16,8,8,1,8,14,8,15,8,16,8,8,11,15,16,3,8,14,8,15,3,11,10,9,1,8,1,1,17,1,1,16,16,3,8,14,8,10,9,8,1,8,1,1,11,8,8,1,5,10,1,10,9,1,2,17,15,9,14
Mar,13,17,10,8,8,10,8,1,17,3,14,15,8,17,15,17,9,11,9,8,8,15,8,8,14,17,1,1,8,15,9,14,10,10,16,16,17,14,1,9,14,17,14,17,15,17,9,17,8,10,1,8,10,8,1,17,17,8,1,16,11,11,15,10,9,16,5,11,7,18,10
Mar,14,11,1,10,8,18,15,8,14,15,14,8,1,10,10,1,15,3,9,7,8,11,8,8,11,16,2,2,3,8,1,11,9,1,10,7,16,15,1,1,17,9,14,9,10,17,17,8,7,1,17,8,10,9,1,8,10,8,1,16,14,11,11,19,8,14,9,17,9,14,10
